variable,description,,,,,,,,,,,,,,,,,,,,,,,,,,,
collection_id,collection_id,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_id,dataset_id,,,,,,,,,,,,,,,,,,,,,,,,,,,
subjectkey,The NDAR Global Unique Identifier (GUID) for research subject,,,,,,,,,,,,,,,,,,,,,,,,,,,
src_subject_id,Subject ID how it's defined in lab/project,,,,,,,,,,,,,,,,,,,,,,,,,,,
interview_date,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,,,,,,,,,,,,,,,,,,,,,,,,,,,
interview_age,Age in months at the time of the interview/test/sampling/imaging.,,,,,,,,,,,,,,,,,,,,,,,,,,,
gender,Sex of the subject,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventname,The event name for which the data was collected,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthro_1_height_in,STANDING HEIGHT #1 (in inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
anthro2heightin,STANDING HEIGHT #2 (in inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
anthro3heightin,STANDING HEIGHT #3 (in inches),,,,,,,,,,,,,,,,,,,,,,,,,,,
anthroheightcalc,"Standing Height Average (inches): If three measurements were obtained, the two closest measurements will be averaged. Should the third measurement fall equally between the first two measurements, all three will be averaged.",,,,,,,,,,,,,,,,,,,,,,,,,,,
anthroweightcast,Participant Wearing a Cast or Medical Prosthesis?,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthro_weight_a_location,Location of Cast or Medical Prosthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthroweight1lb,"Make sure shoes and unnecessary layers of clothes (jackets or hats) have been removed before taking weight measurement.) 1. Okay, make sure you empty your pockets for this next measurement. Please stand completely still in the center of the scale with your feet close together, your hands at your side, and your head looking straight ahead. Please stay as still as possible while I measure your weight. (OBTAIN & RECORD WEIGHT #1 (in lbs))",,,,,,,,,,,,,,,,,,,,,,,,,,,
anthroweight2lb,"2.  Ok, you can relax and step away from the scale. 3. Now step back on the scale again for another measurement and remember to stand completely still in the center of the scale with your feet close together, your hands at your side, and your head looking straight ahead. Please stay as still as possible while I measure your weight. (OBTAIN & RECORD WEIGHT #2 (in lbs))",,,,,,,,,,,,,,,,,,,,,,,,,,,
anthroweight3lb,"If measurements differ by > 0.1 pounds, the program will prompt you to take a third measurement. 4.  Ok, you can relax and step away from the scale. 5.  Please step back on the scale again for another measurement and remember to stand completely still in the center of the scale with your feet close together, your hands at your side, and your head looking straight ahead. Please stay as still as possible while I measure your weight. (OBTAIN & RECORD WEIGHT #3 (in lbs))",,,,,,,,,,,,,,,,,,,,,,,,,,,
anthroweightcalc,"Average Measured Weight (lbs):If three measurements were obtained, the two closest measurements will be averaged. Should the third measurement fall equally between the first two measurements, all three will be averaged.",,,,,,,,,,,,,,,,,,,,,,,,,,,
anthro_waist_cm,Measured circumference (in inches):,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthro_timestamp,Current Time:,,,,,,,,,,,,,,,,,,,,,,,,,,,
collection_title,collection_title,,,,,,,,,,,,,,,,,,,,,,,,,,,
promoted_subjectkey,promoted_subjectkey,,,,,,,,,,,,,,,,,,,,,,,,,,,
collection_id,collection_id,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset_id,dataset_id,,,,,,,,,,,,,,,,,,,,,,,,,,,
subjectkey,The NDAR Global Unique Identifier (GUID) for research subject,,,,,,,,,,,,,,,,,,,,,,,,,,,
src_subject_id,Subject ID how it's defined in lab/project,,,,,,,,,,,,,,,,,,,,,,,,,,,
interview_date,Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY,,,,,,,,,,,,,,,,,,,,,,,,,,,
interview_age,Age in months at the time of the interview/test/sampling/imaging.,,,,,,,,,,,,,,,,,,,,,,,,,,,
gender,Sex of the subject,,,,,,,,,,,,,,,,,,,,,,,,,,,
eventname,The event name for which the data was collected,,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_perstr_r,Personal Strength ASR Adaptive Functioning Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_perstr_t,Personal Strength ASR Adaptive Functioning Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_perstr_total,Personal Strength ASR Adaptive Functioning Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_perstr_nm,Personal Strength ASR Adaptive Functioning Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_anxdep_r,Anxious/Depressed ASR Syndrome Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_anxdep_t,Anxious/Depressed ASR Syndrome Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_anxdep_total,Anxious/Depressed ASR Syndrome Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_anxdep_nm,Anxious/Depressed ASR Syndrome Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_withdrawn_r,Withdrawn ASR Syndrome Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_withdrawn_t,Withdrawn ASR Syndrome Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_withdrawn_total,Withdrawn ASR Syndrome Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_withdrawn_nm,Withdrawn ASR Syndrome Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_somatic_r,Somatic Complaints ASR Syndrome Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_somatic_t,Somatic Complaints ASR Syndrome Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_somatic_total,Somatic Complaints ASR Syndrome Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_somatic_nm,Somatic Complaints ASR Syndrome Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_thought_r,Thought Problems ASR Syndrome Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_thought_t,Thought Problems ASR Syndrome Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_thought_total,Thought Problems ASR Syndrome Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_thought_nm,Thought Problems ASR Syndrome Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_attention_r,Attention Problems ASR Syndrome Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_attention_t,Attention Problems ASR Syndrome Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_attention_total,Attention Problems ASR Syndrome Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_attention_nm,Attention Problems ASR Syndrome Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_aggressive_r,Aggressive Behavior ASR Syndrome Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_aggressive_t,Aggressive Behavior ASR Syndrome Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_aggressive_total,Aggressive Behavior ASR Syndrome Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_aggressive_nm,Aggressive Behavior ASR Syndrome Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_rulebreak_r,Rule-Breaking Behavior ASR Syndrome Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_rulebreak_t,Rule-Breaking Behavior ASR Syndrome Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_rulebreak_total,Rule-Breaking Behavior ASR Syndrome Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_rulebreak_nm,Rule-Breaking Behavior ASR Syndrome Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_intrusive_r,Intrusive ASR Syndrome Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_intrusive_t,Intrusive ASR Syndrome Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_intrusive_total,Intrusive ASR Syndrome Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_intrusive_nm,Intrusive ASR Syndrome Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_internal_r,Interalizing Problems ASR Syndrome Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_internal_t,Interalizing Problems ASR Syndrome Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_internal_total,Interalizing Problems ASR Syndrome Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_internal_nm,Interalizing Problems ASR Syndrome Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_external_r,Externalizing Problems ASR Syndrome Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_external_t,Externalizing Problems ASR Syndrome Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_external_total,Externalizing Problems ASR Syndrome Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_external_nm,Externalizing Problems ASR Syndrome Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_totprob_r,Total Problems ASR Syndrome Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_totprob_t,Total Problems ASR Syndrome Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_totprob_total,Total Problems ASR Syndrome Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_totprob_nm,Total Problems ASR Syndrome Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_depress_r,Depressive Problems ASR DSM-5-Oriented Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_depress_t,Depressive Problems ASR DSM-5-Oriented Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_depress_total,Depressive Problems ASR DSM-5-Oriented Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_depress_nm,Depressive Problems ASR DSM-5-Oriented Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_anxdisord_r,Anxiety Problems ASR DSM-5-Oriented Scale (raw score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_anxdisord_t,Anxiety Problems ASR DSM-5-Oriented Scale (t-score),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_anxdisord_total,Anxiety Problems ASR DSM-5-Oriented Scale (number of dependent raw scores),,,,,,,,,,,,,,,,,,,,,,,,,,,
asr_scr_anxdisord_nm,Anxiety Problems ASR DSM-5-Oriented Scale (number of dependent raw scores missing),,,,,,,,,,,,,,,,,,,,,,,,,,,
